Tempo (ms);Trajetória 1;Trajetória 2
8928;100.252220024653;117.93011474083
8962;100.291592732878;117.972117755874
8986;100.323292251067;118.005228657931
9012;100.343924226256;118.025797761934
9062;100.354530928522;118.035454170501
9098;100.358168148853;118.037987505439
9129;100.357939475971;118.036961457851
9161;100.35615632883;118.034823986968
9191;100.354190872697;118.032871819798
9224;100.352660533735;118.0315680854
9256;100.351704799859;118.030910177083
9299;100.351227466149;118.030711203279
9328;100.35105979029;118.030765386461
9368;100.351048163465;118.030919543445
9399;100.351087612213;118.031086788301
9432;100.351122992303;118.03123290927
9455;100.35113563263;118.031355087463
9484;100.351127452265;118.031464300939
9512;100.351108483867;118.031575590521
9547;100.351089121081;118.031703642254
9588;100.351075938155;118.031858766011
9622;100.351070045645;118.032042128374
9653;100.351067822856;118.032244811989
9694;100.351063710541;118.032453317853
9714;100.351053724811;118.032656475867
9756;100.351037218429;118.032848347642
9803;100.351015692815;118.033027159161
9832;100.350990561198;118.033193178794
9858;100.350962040986;118.033347605604
9900;100.350929345082;118.033491935861
9919;100.350891735239;118.033626738059
9961;100.350850247877;118.033750639582
9996;100.350809145262;118.033860892458
10022;100.350775570686;118.033955250552
10051;100.350756899611;118.034032870472
10075;100.350757161498;118.034093227227
10125;100.350775335093;118.034137077384
10150;100.350806933606;118.034174112283
10192;100.350846985722;118.034236156543
10229;100.350891962541;118.03439037487
10260;100.350940141;118.034743753449
10285;100.350991023274;118.035424309123
10317;100.35104421553;118.036518947965
10355;100.351097783014;118.037949309758
10384;100.351146819214;118.039284014234
10421;100.35118412605;118.039525482468
10455;100.351203435846;118.036980784555
10505;100.351202063441;118.029433058844
10538;100.351180544686;118.014943726583
10571;100.351141347717;117.993657657367
10597;100.351088914676;117.969402086739
10626;100.351029549247;117.948046036003
10651;100.35096958984;117.933421345921
10679;100.350913235313;117.925686723481
10720;100.350861798888;117.922925215832
10745;100.35081446568;117.922942896086
10791;100.350769584574;117.924066605496
10831;100.350725672107;117.925313360132
10858;100.35068200556;117.926259737975
10889;100.35063907475;117.926828474284
10934;100.35059905027;117.927103446284
10960;100.35056599641;117.927210415245
10985;100.350545305387;117.927258019676
11024;100.350541817597;117.927316949335
11050;100.350556215586;117.927418864985
11091;100.350581748789;117.9275656869
11122;100.350605923926;117.92774312624
11149;100.350616572791;117.92793222707
11192;100.35060595087;117.928116243699
11218;100.350571261708;117.928283892653
11258;100.350514286759;117.928429147685
11291;100.350440217485;117.928548354506
11326;100.350355263988;117.928638476929
11359;100.350264555714;117.928698495689
11399;100.350171506647;117.928730795403
11433;100.350078251677;117.928739747979
11469;100.349986411276;117.928729610596
11496;100.349897853953;117.928704009211
11526;100.349815209466;117.928666180845
11549;100.349741788538;117.928619101324
11597;100.349680566823;117.928565703298
11624;100.349632551548;117.928509631194
11653;100.349596034951;117.928456538849
11690;100.349567713247;117.928414450652
11723;100.349544466736;117.928391388425
11754;100.349524183702;117.92839121638
11799;100.349505603284;117.928411798845
11823;100.349487995579;117.928447524095
11866;100.34947090916;117.928492825842
11895;100.349453738457;117.928543062171
11921;100.349435219183;117.928592924624
11948;100.349413068007;117.928634093136
11984;100.349383845989;117.928654068283
12021;100.349343503951;117.928639204786
12062;100.349288736485;117.928582146631
12085;100.349218068736;117.9284866464
12124;100.349132196442;117.928364383369
12159;100.349034331334;117.928228459948
12194;100.348929793249;117.928089819566
12235;100.348823743755;117.927956909215
12261;100.348718932158;117.927836161799
12296;100.348615426623;117.927731502001
12321;100.348511597825;117.927643075537
12355;100.348405337509;117.927567380743
12383;100.348295290958;117.927499941795
12426;100.348181572625;117.927438999463
12453;100.348065585719;117.927388200004
12479;100.347949482518;117.927356396205
12519;100.347835854258;117.927353531536
12546;100.347727404309;117.927384455907
12596;100.347626288587;117.927444777361
12618;100.347533433904;117.927522907962
12661;100.347448235416;117.927606930102
12697;100.347368893766;117.927689195047
12729;100.3472933081;117.927766008747
12759;100.347219817185;117.927835596168
12788;100.347147296465;117.927896895697
12834;100.347074872325;117.927949773847
12855;100.347001690589;117.92799537874
12890;100.346926822288;117.928035144639
12920;100.346849143724;117.928069298921
12956;100.346767273789;117.928096405276
12988;100.346679910126;117.928114239084
13030;100.346586760643;117.928121807118
13060;100.346489665195;117.928121776836
13101;100.346392782467;117.928121199182
13119;100.346301219903;117.928128814225
13161;100.346218857142;117.928150520796
13191;100.346146488475;117.928187093686
13222;100.346081196736;117.928236023825
13252;100.346017421354;117.928295060694
13281;100.345949256947;117.928364454764
13325;100.345872920421;117.92844714758
13354;100.345787903305;117.928547626739
13390;100.345696092897;117.928669843257
13422;100.345600251697;117.928814366061
13457;100.345503449174;117.928977109913
13503;100.345409353359;117.929151425188
13542;100.345322475207;117.929331121914
13573;100.345247751711;117.929511941185
13603;100.345189079802;117.92969171432
13654;100.345146197237;117.929869580926
13666;100.345109377373;117.930043809213
13694;100.3450529507;117.930208326003
13731;100.344931530169;117.930349560484
13757;100.344684485728;117.930445873721
13799;100.344254499402;117.930472142918
13829;100.343627438235;117.930411331492
13860;100.342900450355;117.930271226465
13889;100.342375830474;117.930106557868
13923;100.34265654227;117.930054039633
13953;100.344685995734;117.930375942854
14008;100.349631258845;117.931474206237
14034;100.358466027984;117.93381023172
14083;100.371097305474;117.937655358108
14104;100.384948324711;117.942605468537
14140;100.39312764341;117.94685400708
14155;100.382750198351;117.946381418112
14190;100.334662446095;117.934518208867
14228;100.22666979093;117.9027362599
14270;100.040870559027;117.842419767133
14303;99.7704697494082;117.745962795689
14332;99.41986333122;117.608279157021
14390;98.9990344777305;117.430010234385
14405;98.5193324555298;117.218081402917
14428;97.9926859290751;116.981207200081
14459;97.4305493426014;116.725068880637
14499;96.8419477838221;116.451193486381
14534;96.2323826141783;116.158529038334
14566;95.6044155401396;115.844759030875
14609;94.9598217757206;115.507279410512
14643;94.3014910242201;115.145435498038
14676;93.6336847815717;114.761911224144
14712;92.9604402466554;114.360727861112
14730;92.2826844614231;113.944172273736
14756;91.5966478689703;113.51219145441
14799;90.8965896946671;113.063885612104
14845;90.1800419649607;112.598385980395
14873;89.4497879884125;112.115228407161
14908;88.7118693721833;111.615479427429
14935;87.9726190258369;111.102030300339
14961;87.2352493502471;110.577571438084
15001;86.4983847402388;110.041584903049
15026;85.7589650256004;109.490309808768
15060;85.0153102907458;108.920853259088
15090;84.2666215709028;108.334186991738
15127;83.5122012080381;107.733502561483
15158;82.7525116858535;107.120807025268
15200;81.9891613568345;106.495374838848
15230;81.2228067869299;105.854954304742
15263;80.4519295292765;105.198360144149
15297;79.6745943789289;104.527105700649
15339;78.8913006951849;103.845000993364
15366;78.1057904823286;103.155560632116
15399;77.3224396249259;102.459251570117
15423;76.5430069692298;101.753840581561
15465;75.7677566484226;101.036349492841
15497;74.9986091748139;100.304378992726
15528;74.2387097175588;99.5573742592648
15560;73.4901429977594;98.796968649161
15605;72.7525580813516;98.0264461817811
15632;72.0223970299057;97.2502770589834
15655;71.293845736952;96.471902267721
15689;70.5619499089505;95.6905758047312
15721;69.8254718536097;94.9021885136717
15757;69.0871296760048;94.103896436541
15797;68.3514976431696;93.296040991613
15816;67.6222810250613;92.4792944828211
15861;66.9004714155166;91.6528521911887
15896;66.1850111367337;90.8161672390607
15935;65.4756835337001;89.970007096894
15959;64.7750614747909;89.115777552996
15990;64.086482694913;88.2558534079571
16010;63.4100048211287;87.3944465323813
16054;62.7422519605463;86.5358264965319
16089;62.0799220064462;85.6806598748957
16119;61.4218579670028;84.8252178840412
16160;60.7691467826503;83.9645591787456
16195;60.1236939022804;83.0960640058611
16239;59.4861986730707;82.2201263933971
16264;58.857198567531;81.3385295655187
16300;58.2388681528527;80.4532646269738
16328;57.6325424520579;79.5671035207622
16367;57.0360699705892;78.684084521585
16398;56.4468863797662;77.807621948209
16422;55.8666641939593;76.9382140165196
16454;55.3004539508107;76.0729941548116
16489;54.7512152486197;75.2069897956086
16523;54.2165743797639;74.3366372480154
16559;53.6915717641988;73.4625267965481
16592;53.173420333698;72.5879199236498
16628;52.663641705802;71.7166703739525
16660;52.1669202457703;70.8525362777603
16697;51.6876946458364;69.9968566696645
16720;51.2280358742632;69.146996825819
16762;50.7881146861501;68.2992532044959
16790;50.3668472524889;67.452128461246
16829;49.9627008252838;66.6064319391311
16860;49.5747099684031;65.7642338328776
16901;49.2017525319106;64.9280316791827
16927;48.8412600149909;64.0995009293232
16962;48.4906605457815;63.2786482076552
16991;48.1499338488619;62.4645990149922
17033;47.8215420063274;61.6566959727974
17066;47.5077094112435;60.8556541783358
17089;47.2078244328372;60.0646226998768
17118;46.919709623263;59.287636706121
17167;46.6437272272767;58.5265480316959
17198;46.383929406199;57.7797364488079
17223;46.1451845940178;57.0435303052143
17255;45.9307268487063;56.3151101832958
17297;45.7425338867393;55.5945927778761
17329;45.5820500292499;54.8852980017334
17356;45.4488935373699;54.1923289297497
17382;45.3394015457391;53.5192814252321
17412;45.2480371232081;52.8649831886564
17460;45.1711084168262;52.2246651293274
17481;45.1084843096716;51.5954482564656
17526;45.0616293752962;50.9801729893246
17564;45.0311051025218;50.3848444882721
17604;45.0155955078412;49.8120135964208
17619;45.0124353673376;49.258399239523
17662;45.0189919390079;48.7190822859325
17686;45.0342734173404;48.1909596266687
17713;45.0606821385876;47.6720928118723
17754;45.10375425822;47.1611221121787
17785;45.1688064411026;46.6585392562778
17818;45.2581793785508;46.1678710711262
17860;45.3714738697918;45.6953684904083
17896;45.5071359898837;45.2472332857446
17926;45.6640368645586;44.8257973180889
17957;45.8421649828319;44.4289762707163
17989;46.0418045935484;44.0528205595161
18023;46.2624473473912;43.6934312620385
18061;46.5023834371175;43.3484087984762
18095;46.7588299368556;43.0183233615354
18116;47.0287294443366;42.7061689108582
18150;47.3105808606265;42.4149284259039
18185;47.6057906825592;42.1455956152421
18210;47.9169689075957;41.8964173372159
18267;48.2450174101023;41.6642178772219
18297;48.588639267797;41.4481293817743
18321;48.9454112500648;41.2512438301189
18350;49.3126611348987;41.0775583560669
18392;49.6891345623096;40.9286470302471
18428;50.0765505020371;40.803405403448
18459;50.4781475545502;40.699353847961
18504;50.8961055301773;40.614241491347
18557;51.3316866319089;40.5472724981252
18581;51.7868623833366;40.4991336289243
18594;52.2640918544665;40.4718742151164
18628;52.7639176411418;40.4683556662732
18660;53.2829828702564;40.4898825087025
18686;53.814307757023;40.5343369848363
18724;54.348527844576;40.5970686059272
18762;54.8744802732757;40.6721831306856
18808;55.3793951059723;40.7525456032546
18838;55.8500423736624;40.8309111370396
18868;56.2758337843874;40.9020756276637
18888;56.6518541623757;40.9618575973668
18925;56.9781579157415;41.0037779838159
18964;57.2562203171152;41.0197703484843
18982;57.4868678165564;41.0049420964654
19017;57.6703508662824;40.9611908593598
19058;57.8073350836432;40.8993060424875
19090;57.9009389358851;40.8368844090842
19119;57.9577354321277;40.788897110573
19155;57.9863664508991;40.7602841912839
19183;57.9959470983168;40.7478591953236
19216;57.9948281383218;40.7456946390422
19246;57.9893054715012;40.7484723764395
19293;57.9831689040559;40.7526475490812
19317;57.9781675045865;40.7564038984156
19358;57.9747381566389;40.7591388498737
19386;57.9726536075872;40.7609085902017
19425;57.9714673698331;40.7620163185293
19455;57.9707575653745;40.7627764923793
19478;57.9702229477165;40.7634181333216
19524;57.9696918581819;40.7640713850376
19561;57.9690921524732;40.7647901799184
19585;57.9684124181275;40.7655825031108
19634;57.9676698517226;40.7664349607471
19659;57.9668896326358;40.7673272152078
19694;57.9660942920602;40.7682383037566
19719;57.9652993573741;40.7691496245079
19750;57.9645120519972;40.7700473827832
19784;57.9637308724432;40.7709257741366
19832;57.9629446749491;40.771792391907
19859;57.9621312029912;40.7726763031888
19894;57.9612570960371;40.773636585608
19912;57.9602830228544;40.7747651721652
19951;57.9591780780862;40.7761712492393
19983;57.9579479908398;40.777927102264
20022;57.9566804462786;40.7799561654345
20060;57.9556032302222;40.7818610863187
20101;57.9551344675877;40.782726888108
20135;57.9558814753149;40.7810000053843
20156;57.9585206665042;40.7746430465159
20198;57.9634724395614;40.7618721609967
20222;57.9702898964598;40.7428247296463
20253;57.9767433022634;40.7223546300855
20287;57.9777467974568;40.7136375149517
20334;57.9645758840501;40.7412098130654
20357;57.9252639842684;40.8404033167008
20397;57.8475502242713;41.0493348451075
20422;57.7241678945127;41.3954156461585
20449;57.556373612807;41.8868625131947
20485;57.3518425949126;42.5140381199539
20526;57.1186255976745;43.2553060907302
20544;56.8610730638357;44.0858290366511
20584;56.5807145282068;44.9883917532482
20624;56.2773196838119;45.9591266892368
20662;55.9467852419264;47.0064177845713
20688;55.5811288463602;48.1481268962832
20723;55.1742139713567;49.404519071415
20781;54.7298234421306;50.7761931740274
20828;54.2653793916112;52.2205392526511
20852;53.8045831083834;53.6663816588941
20876;53.363762872429;55.0588829558133
20922;52.9459391051766;56.3807275837189
20961;52.5452959633223;57.6408860370307
20986;52.1541853060611;58.8575513817822
21020;51.767047986213;60.0451712251354
21058;51.381272513415;61.209324907573
21091;50.9977971473231;62.3496165537348
21123;50.620811538586;63.4615606259545
21167;50.2555884754402;64.5346457862701
21196;49.9070098057656;65.5537889191367
21219;49.57910179564;66.5059907646771
21253;49.2739159434363;67.3857555287371
21282;48.9910250208553;68.195119645796
21322;48.7291067843117;68.9392301955952
21354;48.4876516740488;69.621184227679
21385;48.2670487613481;70.2394902165476
21418;48.0680815817208;70.7891895535033
21448;47.8918555439357;71.2656987417773
21490;47.7402769468334;71.6677803083178
21511;47.6158600141654;71.9958101844464
21559;47.5202684817582;72.2473089426218
21599;47.4541836382387;72.4157965524436
21622;47.4184205910019;72.4933652593388
21658;47.4133309552437;72.4736419856681
21695;47.4374893012288;72.3549673789635
21731;47.4875413621661;72.1424036894146
21760;47.5583798023244;71.8475930552168
21793;47.6433502394608;71.4891013426627
21838;47.734357892244;71.0930567883594
21864;47.8218823008176;70.6910195619919
21898;47.8962875885686;70.3133929742676
21922;47.9501090094996;69.9814096762042
21957;47.9799266779113;69.7046747167816
21993;47.9869448481477;69.4848467440409
22024;47.9756851372859;69.3196026661392
22053;47.95245612574;69.2043993535475
22095;47.9247680994668;69.1327469962194
22125;47.8997379654288;69.0957851734571
22156;47.8814514617052;69.0826557779042
22206;47.8702932004;69.0826912522112
22238;47.864567354473;69.0878500777995
