Tempo (ms);Trajetória 1;Trajetória 2
8186;-54.5455016529912;-74.9473419861728
8226;-54.5454798513054;-74.9473511242008
8252;-54.5454625985862;-74.9473615013859
8275;-54.5454519926975;-74.9473738252862
8309;-54.5454480504637;-74.9473880129871
8353;-54.5454505992026;-74.9474033832564
8386;-54.5454597329592;-74.9474189599067
8412;-54.5454745833553;-74.9474337487384
8438;-54.545492121291;-74.9474472598999
8465;-54.5455073167378;-74.9474600493314
8521;-54.5455145305043;-74.9474738862
8552;-54.5455092234073;-74.9474918029577
8588;-54.5454886728867;-74.9475179100069
8617;-54.5454514290588;-74.9475558662865
8640;-54.5453971008568;-74.9476058485043
8678;-54.5453269000758;-74.9476625728208
8714;-54.5452438988226;-74.947716798882
8756;-54.5451529522071;-74.9477590015783
8787;-54.5450604624201;-74.9477826618228
8821;-54.5449737622309;-74.9477866386477
8853;-54.5448996877604;-74.9477757227234
8880;-54.5448417399547;-74.9477577949426
8910;-54.5447974037511;-74.9477395911773
8948;-54.5447591789988;-74.9477247734128
8979;-54.5447194304355;-74.9477144459667
9019;-54.5446743595616;-74.9477079163305
9041;-54.5446240575268;-74.9477024451801
9089;-54.5445704819849;-74.9476919413648
9109;-54.5445158228479;-74.9476653930521
9148;-54.5444617378708;-74.9476074208731
9176;-54.5444091809349;-74.9475047461002
9224;-54.5443583129525;-74.9473570993345
9245;-54.5443078908521;-74.9471804090956
9265;-54.544254181563;-74.9469954963494
9316;-54.5441905995105;-74.9468158063626
9347;-54.544110420939;-74.9466473610072
9375;-54.5440130338108;-74.9464948742314
9408;-54.543908624414;-74.9463630382879
9453;-54.5438159421737;-74.9462521707577
9482;-54.5437549192418;-74.9461552973766
9509;-54.5437390837024;-74.9460615281637
9555;-54.5437703434008;-74.9459623360354
9597;-54.5438389409186;-74.9458547426875
9633;-54.5439298246987;-74.9457401030069
9647;-54.5440300643425;-74.9456213537556
9678;-54.5441318619238;-74.9455012089886
9716;-54.5442318493402;-74.9453814156865
9754;-54.5443291613829;-74.9452626191383
9777;-54.5444236127419;-74.9451446024869
9805;-54.5445147102189;-74.9450264974458
9844;-54.5446016431806;-74.9449066929018
9887;-54.5446843364756;-74.9447825832573
9904;-54.5447648070021;-74.944651029612
9948;-54.5448464619518;-74.9445104592009
9978;-54.544931494408;-74.9443638884304
10063;-54.5450197936474;-74.9442199494652
