Tempo (ms);Trajetória 1;Trajetória 2
8186;101.799423843114;116.718636281176
8226;101.799522331674;116.718693213656
8252;101.799608993261;116.718763518806
8275;101.799678285189;116.718853335448
8309;101.799730742351;116.71896171406
8353;101.799769894397;116.719085202507
8386;101.799800277977;116.719219909157
8412;101.799827292577;116.71936167411
8438;101.799857557626;116.719506976186
8465;101.799898634595;116.719654540535
8521;101.799957681877;116.719806517114
8552;101.800039239827;116.71996867886
8588;101.800143561492;116.720149219207
8617;101.800266589057;116.720354780216
8640;101.800400686465;116.720583708508
8678;101.800535799012;116.720822131404
8714;101.800661797406;116.721048823129
8756;101.800770817889;116.721245610246
8787;101.800857417476;116.721404435076
8821;101.80091711087;116.721527627503
8853;101.800946377467;116.721624110486
8880;101.800945560879;116.721704493538
8910;101.800921749717;116.721777442028
8948;101.800887253026;116.721848646382
8979;101.800853881614;116.721921139146
9019;101.800828306441;116.721995680857
9041;101.800811825901;116.72207125119
9089;101.800802706256;116.72214562837
9109;101.800798298365;116.722215984461
9148;101.800796112527;116.722279811451
9176;101.800794116476;116.7223363266
9224;101.800790636045;116.722387705018
9245;101.800784118717;116.722438800895
9265;101.800772973351;116.722495160991
9316;101.800755750806;116.722561481637
9347;101.80073152221;116.722641280684
9375;101.80070004072;116.722735385261
9408;101.800661746921;116.722839267588
9453;101.800617889388;116.722942951533
9482;101.800570679208;116.723034974344
9509;101.80052295425;116.723107582347
9555;101.800477099257;116.723159538493
9597;101.800434086121;116.723195198161
9633;101.800393562459;116.723221178243
9647;101.800354669129;116.723243305499
9678;101.800316727133;116.723265286789
9716;101.800279568284;116.72328866402
9754;101.800243747536;116.723313477194
9777;101.800210569718;116.723339027612
9805;101.800181683922;116.723364140253
9844;101.800158221483;116.723387264186
9887;101.800139512;116.723406930777
9904;101.800122225764;116.723422534403
9948;101.800101821615;116.72343563084
9978;101.800075563047;116.723451739209
10063;101.800043574254;116.723480921837
10073;101.800007443776;116.723534173913
10103;101.799968788061;116.723615883412
10120;101.799928716194;116.723719145973
10148;101.799887822465;116.723829150837
10181;101.799846450279;116.723930758556
10201;101.799805032334;116.724014408369
10260;101.799764269214;116.724078429653
10273;101.799725139056;116.724127699675
10307;101.799689010485;116.724169717018
10342;101.799657923002;116.724211322861
10378;101.799634635567;116.724258965531
10416;101.799621954188;116.724319781263
10453;101.79962140954;116.724399057075
10489;101.799632328465;116.724496194772
10519;101.7996524407;116.72460414986
10545;101.79967969424;116.724712785249
10573;101.799713876769;116.724813084819
10614;101.79975716206;116.724899726495
10647;101.799813339572;116.724971583141
10680;101.799885437233;116.725030868611
10719;101.79997232079;116.725081433258
10763;101.800067069503;116.725127004931
10782;101.800159453826;116.725170577671
10814;101.800240653116;116.725214920755
10845;101.800306155129;116.725262844454
10879;101.800355481118;116.725316280768
10906;101.800390650037;116.725374499497
10936;101.800414743599;116.72543297894
10982;101.800430361168;116.725485517654
11010;101.800438363225;116.725530402477
11042;101.800437820746;116.725575145617
11083;101.800427189737;116.725632460457
11121;101.800405452055;116.725709714343
11153;101.800372143429;116.725802751167
